ego,n_nodes,n_labelled,n_circles,lou_k,lei_k,lou_Q,lei_Q,lou_nmi,lou_ari,lei_nmi,lei_ari
100318079,220,48,4,3,3,0.18718347017563058,0.18695539578458834,0.5541863710386488,0.6325745237431621,0.5877381526654886,0.6349502320714726
101859065,23,18,3,2,3,0.14313271604938277,0.14313271604938277,0.415785898710849,0.34480986639260025,0.4126865072622595,0.2529577464788734
103865085,118,16,1,3,4,0.14674150068504715,0.14424547622084435,1.0,,0.0,0.0
103991905,81,23,2,6,7,0.35338927710161905,0.35474673618502583,0.39172782922493893,0.2976825426530677,0.3903566029479743,0.33703518842026436
104615636,48,23,3,3,4,0.12224161872644307,0.11585796468954573,0.16279530969054481,0.07435197817189661,0.19938561288997533,0.057916602554238784
104991493,180,92,5,6,6,0.4102727662877659,0.41027276628776593,0.549615325968821,0.5905503896982008,0.549615325968821,0.5905503896982008
105150583,210,56,5,5,5,0.45288280603763104,0.45290718238028627,0.5965490184953729,0.4736318973106526,0.5965490184953729,0.4736318973106526
105398724,21,18,2,3,3,0.11578478002378118,0.12139565992865634,0.1823599871500194,0.05817174515235453,0.32628565117169434,0.1142416055576997
105918870,170,136,7,4,4,0.3056976290833683,0.3094232251268496,0.493291413600905,0.347633804230547,0.510813904176786,0.35320949707899035
107418464,175,14,2,5,6,0.34581223642051134,0.3472174871138917,0.5723165141089483,0.6608695652173914,0.5723165141089483,0.6608695652173914
107512718,138,31,14,4,5,0.18328691917309958,0.1864319267876029,0.33235366126926336,0.04797774944953134,0.3660894015464758,0.1048578869890161
107516840,221,17,3,2,2,0.23709106429634272,0.23709106429634272,0.0,8.677605249943753e-17,0.0,8.677605249943753e-17
10798802,170,28,4,7,6,0.24845871913580247,0.25468798225308636,0.46332226324892317,0.23067470527245498,0.2960080623051806,0.1298154742635156
10985532,165,111,8,5,7,0.4906215003008006,0.49488546438983755,0.38905404416563094,0.21159956800153326,0.4204411418962166,0.20360299920224822
11027262,183,80,2,4,4,0.22873343865165835,0.23214162769387914,0.026561743287101845,0.009788480291521193,0.01667617141585681,0.006693562881939023
110536616,38,24,2,3,3,0.13471803071933697,0.13579906310526557,0.07976342983065575,-0.055045871559633135,0.09233136795188543,-0.048837893498087856
111045742,149,25,2,3,3,0.208945582601678,0.21348890768907602,1.0,1.0,1.0,1.0
111374622,188,57,3,4,5,0.14521741325055537,0.1488224150791626,0.05249270905078995,-0.03603546548448377,0.18082942818400555,0.03689924578076884
113196940,125,99,5,7,7,0.41401842170275555,0.41401842170275555,0.41075141654793357,0.30041465126773165,0.41075141654793357,0.30041465126773165
11348282,171,76,7,4,3,0.13775269667244558,0.141402067711693,0.5532278364150994,0.5083730274226408,0.5331676818058487,0.46437902804389497
11348722,128,12,2,3,4,0.12352486232588279,0.12439139941690969,0.5492777164157399,0.4732394366197181,0.7327150794950767,0.653295128939828
113509970,181,33,6,6,6,0.47083788651140074,0.4766063306980861,0.17903462250447083,-0.04813054092252347,0.17479731039160318,-0.05943379183978944
114115460,96,53,4,5,5,0.24361172193673616,0.24887351849790187,0.07365126627014214,-0.0044124702214882764,0.07252303330295783,-0.0021497700653800383
114885421,145,82,10,3,3,0.3067791778086134,0.3067791778086134,0.5072068371968786,0.3466480647510796,0.5072068371968786,0.3466480647510796
115221382,209,32,11,6,6,0.43367641924640477,0.43471234019574584,0.2012693103702999,-0.006042080303960921,0.2012693103702999,-0.006042080303960921
115911638,120,24,2,4,3,0.07632421172794651,0.07918473383957705,0.3448088859019678,0.2378322402485332,0.1446739077018123,0.1234370311093329
116388817,65,16,2,9,9,0.4887109374999999,0.5052343750000001,0.34147662561078923,0.06349206349206338,0.34147662561078923,0.06349206349206338
11681802,123,26,2,5,4,0.37384874419037717,0.3737624242518292,0.6633073007560799,0.4812174098116422,0.6633073007560799,0.4812174098116422
117029850,73,13,2,5,6,0.21191715708465364,0.2078587596197374,0.14362539282502648,-0.06631762652705056,0.23072132313852098,0.08648648648648652
117671022,147,27,2,6,5,0.1542882171647851,0.15930231485914717,0.5041580690835954,0.5689193963559275,0.5176464879857511,0.5862017434620175
117800618,120,34,23,4,4,0.29017163981588534,0.27361114344067605,0.2499809841687849,0.059213549530624604,0.04320910564190914,-0.019648101244520166
117809922,97,19,2,6,6,0.2220414848965562,0.22285222090025775,0.17665205133774603,0.3690036900369003,0.34193602185242156,0.5137982940291027
11784842,84,21,2,7,8,0.28376304409686093,0.2860394926505231,1.0,1.0,0.7101252321777618,0.7920792079207923
11828432,75,15,2,4,4,0.07293224172207563,0.08157561437067729,0.10619993370749878,-0.07973421926910307,0.19427378867950013,0.04154863078375815
119897041,38,18,2,3,4,0.07852670497470293,0.07193631098189152,0.6612466636838653,0.6981730851702542,0.023519316239777103,-0.05443601151531003
120459837,191,57,2,5,4,0.3506907609623085,0.3513023792332178,0.47778048874288515,0.5821782178217817,0.47778048874288515,0.5821782178217817
12069912,215,23,3,6,6,0.3038413833084859,0.30408037944991345,0.20170928057726717,-0.0992204110559884,0.20170928057726717,-0.0992204110559884
121202578,242,33,4,6,6,0.29363083566870474,0.29314985788557024,0.7085990570205892,0.6503374700631391,0.4856904048996207,0.33008526187576104
123287376,165,28,3,4,3,0.18530473862284355,0.18606038072575853,0.252266850676152,0.06758167040890561,0.13760585443001622,0.02628720399739316
123684709,224,25,2,5,4,0.46709172106801833,0.4638387807778196,0.0,0.0,0.0,0.0
1239671,55,50,2,3,3,0.16750335931201285,0.16750335931201285,0.43549881156208664,0.2805640858723802,0.43549881156208664,0.2805640858723802
12415722,112,28,2,4,4,0.3082804133129654,0.3107963677290344,0.6805691735753389,0.7245901639344262,0.6805691735753389,0.7245901639344262
124296976,131,29,5,5,4,0.24278094119637986,0.2513159247192818,0.41916418073562905,0.21084681255946727,0.5615715720040747,0.3224263449762147
124474025,225,24,2,5,6,0.21633865300835237,0.22492608278870033,0.1893819757622902,0.09799586677560447,0.3662256389402603,0.3777732233437515
125098615,110,24,4,6,5,0.2737119474238948,0.28816293632587264,0.43275323531613896,0.16345742404792488,0.4027326512734025,0.13078556263269628
12570812,135,78,3,5,5,0.4277447710568516,0.4354978909005953,0.47044498278293045,0.4827913523067611,0.38863284640160073,0.3794256550486107
12771872,130,76,5,6,6,0.26629198966408274,0.26674989483805067,0.23787451273234955,0.08921563457568854,0.2719808838051311,0.10878704701018055
127912925,65,59,4,2,2,0.18790873581747164,0.19335482670965348,0.44922691916658186,0.5394585159487115,0.49910681274953855,0.584619811975674
129984134,214,127,2,4,4,0.20171992362850316,0.20196149141366693,0.05948900364220326,0.052104464455846725,0.06457147308731169,0.052104464455846725
13179562,216,19,2,4,5,0.19786800341248115,0.21172165918826924,0.18296331188253828,0.09170980972231599,0.17008673786795428,-0.01689417488849848
13212502,170,13,2,4,4,0.27567735742735683,0.28184463649466673,0.028278574682295016,0.044897959183673466,0.0,-2.4054832200211723e-16
132519763,162,68,3,4,4,0.5160299521258152,0.5202787161217437,0.8148994541726331,0.7813022533409104,0.8148994541726331,0.7813022533409104
13274152,210,68,8,9,7,0.6125222062818596,0.6138115442141572,0.4444351879096457,0.22329033777891658,0.43432347824082074,0.2086238793226129
13275962,143,65,5,4,6,0.2003695188098914,0.204071141898031,0.44564018806059663,0.36488263587397085,0.46783909367266574,0.39012463693518146
13317162,167,20,3,4,4,0.3743060000422461,0.3771703477149762,0.5293573276601964,0.46945158047581814,0.4976190809096431,0.417641048927233
133663120,216,39,2,5,5,0.3324296626215016,0.3308470136921989,0.2820418351037375,0.3287542762141246,0.19709587448438787,0.3665463525835875
134208594,100,31,10,3,3,0.22494487664850027,0.22494487664850027,0.20069929956702545,-0.031101511879049703,0.20069929956702545,-0.031101511879049703
134943586,247,209,9,4,5,0.1766589343524464,0.1742567998156715,0.4251477724586318,0.2904020782550025,0.4175283125864314,0.28980841916033506
135605269,166,55,5,7,7,0.40319937635761566,0.40428413168428246,0.6040172942140047,0.4650896699251303,0.6040172942140047,0.4650896699251303
135704499,74,17,3,4,4,0.5120615243342516,0.512584940312213,0.0,-2.3592239273284576e-16,0.0,-2.3592239273284576e-16
1367531,239,70,4,4,4,0.1494506053117364,0.15754888776288586,0.45907177243905106,0.2846034214618972,0.2911166198975593,0.13192069417029825
137046366,131,43,2,3,3,0.3390187635650773,0.3390187635650773,0.19372375934964825,0.21140531684371805,0.19372375934964825,0.21140531684371805
13747362,72,29,3,3,4,0.3377389213537862,0.3383907556204854,0.4684830718925461,0.4206172600619192,0.4705911222086361,0.4258189290462951
137527381,34,33,2,2,2,0.3667924528301887,0.3667924528301887,1.0,1.0,1.0,1.0
13809612,212,75,4,4,4,0.4648789785739952,0.4661144737324456,0.4655451895498951,0.37865497076023436,0.46331615915431834,0.3875123885034691
13811562,211,12,3,6,5,0.14155696529667108,0.15159410634627507,0.1434783771842936,1.7040632470990775e-16,0.25625737755099304,0.03399433427762028
14045302,142,56,2,6,6,0.21449272924113202,0.22463350655598238,0.22047844908325318,0.08499396546810366,0.24858286553000908,0.12498820484477587
14058831,204,21,3,5,5,0.37622168752995894,0.3800997356227232,0.8635799493691914,0.8349575605155612,0.8635799493691914,0.8349575605155612
14060856,186,96,8,5,6,0.2787446138697353,0.2831915457036933,0.5653348152391793,0.5619170151174012,0.5404373157786512,0.45372076874245487
14077024,225,35,4,11,12,0.1657899358043224,0.16423594170263334,0.11706580081296192,-0.008235572935181883,0.14540790630380973,0.08098942748852972
14120253,141,42,4,7,6,0.48114240879320797,0.4850767513596178,0.5783841707049108,0.5022290170484468,0.643558601412648,0.5979742470772043
